"","subject","correct_judgment","button_expected","pic_file","trial","button_pressed","button_press_time","display_on_time","rt","response_accuracy","particle","version","sentence","logRT","foc","congruence"
"2213","v3p4","yes","4","18_most-yes-stot_trgt3_take.png","15","2","305469.00","297412.13",8056,"incorrect","only","3","Zeszyty zabrał nie tylko prosiaczek.",8.9941724343984,"subj","congruent"
"2214","v3p4","yes","4","19_filler-yes_Trgt-4_win.png","7","4","215396.00","209733.89",5662,"correct","filler","3","Pies wygrał cztery kurczaczki.",8.64153246567185,"obj","congruent"
"2215","v3p4","yes","4","19_most-yes-sfot_trgt5_win.png","17","2","327367.00","322743.98",4623,"incorrect","most","3","Najwięcej lew wygrał cukierków.",8.43879912398823,"obj","congruent"
"2216","v3p4","yes","4","2_filler-yes_Trgt-5_eat.png","31","4","523252.00","517999.32",5252,"correct","filler","3","Lew zjadł dużo jabłek.",8.56636423542269,"obj","congruent"
"2217","v3p4","yes","4","2_most-yes-stot_trgt5_eat.png","10","4","248489.00","243848.57",4640,"correct","only","3","Ogórki zjadł nie tylko prosiaczek.",8.4424696452203,"subj","congruent"
"2218","v3p4","yes","4","20_filler-yes_Trgt-3_win.png","51","4","748451.00","745402.78",3048,"correct","filler","3","Lew wygrał trzy puchary.",8.02224091680654,"obj","congruent"
"2219","v3p4","yes","4","20_most-yes-stot_trgt6_win.png","75","4","1036365.00","1033519.40",2845,"correct","most","3","Najwięcej serduszek wygrał prosiaczek.",7.95331834656043,"subj","congruent"
"2220","v3p4","yes","4","21_filler-yes_Trgt-4_throw away.png","72","4","1003971.00","999304.72",4666,"correct","filler","3","Prosiaczek wyrzucił cztery poduszki.",8.44805745258138,"obj","congruent"
"2221","v3p4","yes","4","21_most-yes-sfot_trgt4_throw away.png","82","4","1141366.00","1137646.68",3719,"correct","only","3","Królik wyrzucił nie tylko skarpetki.",8.22121009392507,"obj","congruent"
"2222","v3p4","yes","4","22_filler-yes_Trgt-4_throw away.png","16","4","316391.00","312861.23",3529,"correct","filler","3","Osioł wyrzucił cztery paski.",8.16876982367527,"obj","congruent"
"2223","v3p4","yes","4","22_most-yes-stot_trgt4_throw away.png","85","4","1173055.00","1169544.84",3510,"correct","only","3","Klocki wyrzucił nie tylko miś.",8.16337131645991,"subj","congruent"
"2224","v3p4","yes","4","23_filler-yes_Trgt-5_steal.png","65","4","932682.00","929425.43",3256,"correct","filler","3","Królik ukradł pięć kubków.",8.08825472712243,"obj","congruent"
"2225","v3p4","yes","4","23_most-yes-sfot_trgt4_steal.png","26","2","427775.00","423738.12",4036,"incorrect","most","3","Najwięcej pies ukradł banananów.",8.3030093814735,"obj","congruent"
"2226","v3p4","yes","4","24_filler-yes_Trgt-4_steal.png","41","4","643147.00","638042.36",5104,"correct","filler","3","Królik ukradł cztery fajki.",8.53777982502463,"obj","congruent"
"2227","v3p4","yes","4","24_most-yes-stot_trgt4_steal.png","25","2","415753.00","409955.59",5797,"incorrect","most","3","Najwięcej łyżek ukradł osioł.",8.66509582133973,"subj","congruent"
"2228","v3p4","yes","4","3_filler-yes_Trgt-3_break.png","84","4","1163790.00","1158212.15",5577,"correct","filler","3","Prosiaczek popsuł parę pompek.",8.62640627638955,"obj","congruent"
"2229","v3p4","yes","4","3_most-yes-sfot_trgt3_break.png","91","2","1232131.00","1229008.05",3122,"incorrect","most","3","Najwięcej królik popsuł kalkulatorów.",8.04622910107538,"obj","congruent"
"2230","v3p4","yes","4","4_filler-yes_Trgt-4_break.png","80","4","1119538.00","1115664.61",3873,"correct","filler","3","Osioł popsuł kilka suszarek.",8.26178467951475,"obj","congruent"
"2231","v3p4","yes","4","4_most-yes-stot_trgt4_break.png","40","4","632709.00","628392.91",4316,"correct","most","3","Najwięcej kostek zepsuł miś.",8.37008432637803,"subj","congruent"
"2232","v3p4","yes","4","5_filler-yes_Trgt-6_buy.png","20","4","363169.00","357491.98",5677,"correct","filler","3","Królik kupił dużo butelek.",8.64417820317073,"obj","congruent"
"2233","v3p4","yes","4","5_most-yes-sfot_trgt3_buy.png","59","4","870504.00","867295.71",3208,"correct","only","3","Pies kupił nie tylko papryki.",8.07340296898641,"obj","congruent"
"2234","v3p4","yes","4","6_filler-yes_Trgt-4_buy.png","92","4","1244806.00","1239657.42",5148,"correct","filler","3","Królik kupił kilka hotdogów.",8.54636356871602,"obj","congruent"
"2235","v3p4","yes","4","6_most-yes-stot_trgt4_buy.png","33","2","550576.00","544864.43",5711,"incorrect","only","3","Ręczniki kupił nie tylko osioł.",8.65014941866486,"subj","congruent"
"2236","v3p4","yes","4","7_filler-yes_Trgt-3_collect.png","77","4","1057269.00","1051801.65",5467,"correct","filler","3","Miś zebrał parę róż.",8.606485298895,"obj","congruent"
"2237","v3p4","yes","4","7_most-yes-sfot_trgt6_collect.png","56","2","830705.00","825664.79",5040,"incorrect","most","3","Najwięcej pies zebrał truskawek.",8.52516136106541,"obj","congruent"
"2238","v3p4","yes","4","8_filler-yes_Trgt-6_collect.png","99","4","1323148.00","1318286.20",4861,"correct","filler","3","Miś zebrał dużo znaczków.",8.48899945704546,"obj","congruent"
"2239","v3p4","yes","4","8_most-yes-stot_trgt6_collect.png","63","4","911985.00","907676.69",4308,"correct","most","3","Najwięcej liści zebrał lew.",8.36822903827628,"subj","congruent"
"2240","v3p4","yes","4","9_filler-yes_Trgt-6_find.png","90","4","1223777.00","1220075.23",3701,"correct","filler","3","Osioł znalazł sześć zapalniczek.",8.21635833238616,"obj","congruent"
"2241","v3p4","yes","4","9_most-yes-sfot_trgt6_find.png","50","4","739341.00","736103.34",3237,"correct","only","3","Prosiaczek znalazł nie tylko guziki.",8.08240225392624,"obj","congruent"
"2242","v3p4","yes","4","practice_1.png","6","4","165973.00","160286.74",5686,"correct","practice","3","Lew zjadł dużo kiełbasek.",8.64576229221094,"obj","congruent"
"2243","v3p4","yes","4","practice_2.png","5","2","154093.00","148654.08",5438,"incorrect","practice","3","Prosiaczek wypił mało herbaty.",8.60116662519242,"obj","congruent"
"2244","v3p4","yes","4","practice_3.png","1","2","106184.00","99840.26",6343,"incorrect","practice","3","Miś przyniósł dwa kasztany.",8.7551071216339,"obj","congruent"
"2245","v3p5","no","2","1_filler-no_Trgt-3_eat.png","7","2","360067.00","356124.90",3942,"correct","filler","3","Miś zjadł parę arbuzów.",8.27944348771267,"obj","incongruent"
"2246","v3p5","no","2","1_obj-nichtnur-no_trgt6_eat.png","46","2","746282.00","743089.65",3192,"correct","only","3","Lew zjadł nie tylko rogaliki.",8.0684029585697,"obj","incongruent"
"2247","v3p5","no","2","10_filler-no_Trgt-3_find.png","88","2","1183265.00","1180918.64",2346,"correct","filler","3","Miś znalazł cztery wieszaki.",7.76046702921342,"obj","incongruent"
"2248","v3p5","no","2","10_subj-nichtnur-no_trgt3_find.png","54","2","806652.00","803786.74",2865,"correct","only","3","Zegarki znalazł nie tylko miś.",7.96032362914884,"subj","incongruent"
"2249","v3p5","no","2","11_filler-no_Trgt-5_catch.png","17","2","461748.00","458503.32",3244,"correct","filler","3","Pies złapał kilka żabek.",8.0845624152353,"obj","incongruent"
"2250","v3p5","no","2","11_most-no-sfof_trgt5_catch.png","71","2","996841.00","994410.92",2430,"correct","most","3","Najwięcej lew złapał motyli.",7.79564653633459,"obj","incongruent"
